r30m44;Variable;factor;weight;spatial
Energy Investments|Elec|Biomass|w/ CC (billion US$2005/yr);Investment|Energy Supply|Electricity|Biomass|w/ CCS (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Elec|Biomass|w/o CC (billion US$2005/yr);Investment|Energy Supply|Electricity|Biomass|w/o CCS (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Elec|Coal (billion US$2005/yr);Investment|Energy Supply|Electricity|Coal (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Elec|Coal|w/ CC (billion US$2005/yr);Investment|Energy Supply|Electricity|Coal|w/ CCS (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Elec|Coal|w/o CC (billion US$2005/yr);Investment|Energy Supply|Electricity|Coal|w/o CCS (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Elec|Storage (billion US$2005/yr);Investment|Energy Supply|Electricity|Electricity Storage (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Elec|Fossil (billion US$2005/yr);Investment|Energy Supply|Electricity|Fossil (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Elec|Gas (billion US$2005/yr);Investment|Energy Supply|Electricity|Gas (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Elec|Gas|w/ CC (billion US$2005/yr);Investment|Energy Supply|Electricity|Gas|w/ CCS (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Elec|Gas|w/o CC (billion US$2005/yr);Investment|Energy Supply|Electricity|Gas|w/o CCS (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Elec|Geothermal (billion US$2005/yr);Investment|Energy Supply|Electricity|Geothermal (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Elec|Hydro (billion US$2005/yr);Investment|Energy Supply|Electricity|Hydro (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Elec|Non-Bio Re (billion US$2005/yr);Investment|Energy Supply|Electricity|Non-Biomass Renewables (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Elec|Non-Fossil (billion US$2005/yr);Investment|Energy Supply|Electricity|Non-fossil (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Elec|Nuclear (billion US$2005/yr);Investment|Energy Supply|Electricity|Nuclear (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Elec|Oil|w/o CC (billion US$2005/yr);Investment|Energy Supply|Electricity|Oil|w/o CCS (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Elec|Hydrogen (billion US$2005/yr);Investment|Energy Supply|Electricity|Other (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Elec|Solar (billion US$2005/yr);Investment|Energy Supply|Electricity|Solar (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Elec|Grid (billion US$2005/yr);Investment|Energy Supply|Electricity|Transmission and Distribution (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Elec|Wind (billion US$2005/yr);Investment|Energy Supply|Electricity|Wind (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Heat (billion US$2005/yr);Investment|Energy Supply|Heat (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Hydrogen (billion US$2005/yr);Investment|Energy Supply|Hydrogen (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Hydrogen|Bio (billion US$2005/yr);Investment|Energy Supply|Hydrogen|Biomass (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Hydrogen|Electrolysis (billion US$2005/yr);Investment|Energy Supply|Hydrogen|Electricity (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Hydrogen|Fossil (billion US$2005/yr);Investment|Energy Supply|Hydrogen|Fossil (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Hydrogen|Transmission and Distribution (billion US$2005/yr);Investment|Energy Supply|Hydrogen|Other (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Hydrogen|RE (billion US$2005/yr);Investment|Energy Supply|Hydrogen|Renewable (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Liquids (billion US$2005/yr);Investment|Energy Supply|Liquids (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Liquids|Bio (billion US$2005/yr);Investment|Energy Supply|Liquids|Biomass (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Liquids|Fossil (billion US$2005/yr);Investment|Energy Supply|Liquids|Coal and Gas (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Liquids|Oil Ref (billion US$2005/yr);Investment|Energy Supply|Liquids|Oil (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Other (billion US$2005/yr);Investment|Energy Supply|Other (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Gases (billion US$2005/yr);Investment|Energy Supply|Other (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Solids (billion US$2005/yr);Investment|Energy Supply|Other (billion US$2010/yr);1.10774;NULL;reg+glo
Demand|++|Crops (Mt DM/yr);Agricultural Demand (million t DM/yr);1;NULL;reg+glo
Demand|Bioenergy|+|Bioenergy crops (Mt DM/yr);Agricultural Demand (million t DM/yr);1;NULL;reg+glo
Demand|++|Livestock products (Mt DM/yr);Agricultural Demand (million t DM/yr);1;NULL;reg+glo
Demand|++|Crops (Mt DM/yr);Agricultural Demand|Crops (million t DM/yr);1;NULL;reg+glo
Demand|Bioenergy|+|Bioenergy crops (Mt DM/yr);Agricultural Demand|Crops (million t DM/yr);1;NULL;reg+glo
Demand|Bioenergy|+|Secondary products (Mt DM/yr);Agricultural Demand|Crops|Energy (million t DM/yr);1;NULL;reg+glo
Demand|Bioenergy|+|Bioenergy crops (Mt DM/yr);Agricultural Demand|Crops|Energy (million t DM/yr);1;NULL;reg+glo
Demand|Bioenergy|+|Secondary products (Mt DM/yr);Agricultural Demand|Crops|Energy|1st generation (million t DM/yr);1;NULL;reg+glo
Demand|Bioenergy|+|Bioenergy crops (Mt DM/yr);Agricultural Demand|Crops|Energy|2nd generation (million t DM/yr);1;NULL;reg+glo
Demand|Feed|+|Crops (Mt DM/yr);Agricultural Demand|Crops|Feed (million t DM/yr);1;NULL;reg+glo
Demand|Food|+|Crops (Mt DM/yr);Agricultural Demand|Crops|Food (million t DM/yr);1;NULL;reg+glo
Demand|Agricultural Supply Chain Loss|+|Crops (Mt DM/yr);Agricultural Demand|Crops|Other (million t DM/yr);1;NULL;reg+glo
Demand|Domestic Balanceflow|+|Crops (Mt DM/yr);Agricultural Demand|Crops|Other (million t DM/yr);1;NULL;reg+glo
Demand|Material|+|Crops (Mt DM/yr);Agricultural Demand|Crops|Other (million t DM/yr);1;NULL;reg+glo
Demand|Processing|+|Crops (Mt DM/yr);Agricultural Demand|Crops|Other (million t DM/yr);1;NULL;reg+glo
Demand|Seed|+|Crops (Mt DM/yr);Agricultural Demand|Crops|Other (million t DM/yr);1;NULL;reg+glo
Demand|++|Livestock products (Mt DM/yr);Agricultural Demand|Livestock (million t DM/yr);1;NULL;reg+glo
Demand|Food|+|Livestock products (Mt DM/yr);Agricultural Demand|Livestock|Food (million t DM/yr);1;NULL;reg+glo
Demand|Agricultural Supply Chain Loss|+|Livestock products (Mt DM/yr);Agricultural Demand|Livestock|Other (million t DM/yr);1;NULL;reg+glo
Demand|Bioenergy|+|Livestock products (Mt DM/yr);Agricultural Demand|Livestock|Other (million t DM/yr);1;NULL;reg+glo
Demand|Domestic Balanceflow|+|Livestock products (Mt DM/yr);Agricultural Demand|Livestock|Other (million t DM/yr);1;NULL;reg+glo
Demand|Feed|+|Livestock products (Mt DM/yr);Agricultural Demand|Livestock|Other (million t DM/yr);1;NULL;reg+glo
Demand|Material|+|Livestock products (Mt DM/yr);Agricultural Demand|Livestock|Other (million t DM/yr);1;NULL;reg+glo
Demand|Processing|+|Livestock products (Mt DM/yr);Agricultural Demand|Livestock|Other (million t DM/yr);1;NULL;reg+glo
Demand|Seed|+|Livestock products (Mt DM/yr);Agricultural Demand|Livestock|Other (million t DM/yr);1;NULL;reg+glo
Production|+|Crops (Mt DM/yr);Agricultural Production (million t DM/yr);1;NULL;reg+glo
Production|+|Livestock products (Mt DM/yr);Agricultural Production (million t DM/yr);1;NULL;reg+glo
Production|+|Bioenergy crops (Mt DM/yr);Agricultural Production (million t DM/yr);1;NULL;reg+glo
Demand|Bioenergy|+|Crop residues (Mt DM/yr);Agricultural Production (million t DM/yr);1;NULL;reg+glo
Production|+|Bioenergy crops (Mt DM/yr);Agricultural Production|Energy (million t DM/yr);1;NULL;reg+glo
Demand|Bioenergy|+|Crop residues (Mt DM/yr);Agricultural Production|Energy (million t DM/yr);1;NULL;reg+glo
Production|+|Bioenergy crops (Mt DM/yr);Agricultural Production|Energy|Crops (million t DM/yr);1;NULL;reg+glo
Demand|Bioenergy|+|Crop residues (Mt DM/yr);Agricultural Production|Energy|Residues (million t DM/yr);1;NULL;reg+glo
Production|+|Crops (Mt DM/yr);Agricultural Production|Non-Energy (million t DM/yr);1;NULL;reg+glo
Production|+|Livestock products (Mt DM/yr);Agricultural Production|Non-Energy (million t DM/yr);1;NULL;reg+glo
Production|+|Crops (Mt DM/yr);Agricultural Production|Non-Energy|Crops (million t DM/yr);1;NULL;reg+glo
Production|+|Livestock products (Mt DM/yr);Agricultural Production|Non-Energy|Livestock (million t DM/yr);1;NULL;reg+glo
Resources|Land Cover (million ha);Land Cover (million ha);1;NULL;reg+glo
Resources|Land Cover|+|Urban Area (million ha);Land Cover|Built-up Area (million ha);1;NULL;reg+glo
Resources|Land Cover|+|Cropland (million ha);Land Cover|Cropland (million ha);1;NULL;reg+glo
Resources|Land Cover|Cropland|Crops|+|Cereals (million ha);Land Cover|Cropland|Cereals (million ha);1;NULL;reg+glo
Resources|Land Cover|Cropland|+|Bioenergy crops (million ha);Land Cover|Cropland|Energy Crops (million ha);1;NULL;reg+glo
Resources|Land Cover|Cropland|+|Bioenergy crops (million ha);Land Cover|Cropland|Energy Crops|2nd generation (million ha);1;NULL;reg+glo
Resources|Land Cover|Cropland|Bioenergy crops|irrigated (million ha);Land Cover|Cropland|Energy Crops|Irrigated (million ha);1;NULL;reg+glo
Resources|Land Cover|Cropland|Crops|irrigated (million ha);Land Cover|Cropland|Irrigated (million ha);1;NULL;reg+glo
Resources|Land Cover|Cropland|Forage|irrigated (million ha);Land Cover|Cropland|Irrigated (million ha);1;NULL;reg+glo
Resources|Land Cover|Cropland|Bioenergy crops|irrigated (million ha);Land Cover|Cropland|Irrigated (million ha);1;NULL;reg+glo
Resources|Land Cover|Cropland|Crops|rainfed (million ha);Land Cover|Cropland|Rainfed (million ha);1;NULL;reg+glo
Resources|Land Cover|Cropland|Forage|rainfed (million ha);Land Cover|Cropland|Rainfed (million ha);1;NULL;reg+glo
Resources|Land Cover|Cropland|Bioenergy crops|rainfed (million ha);Land Cover|Cropland|Rainfed (million ha);1;NULL;reg+glo
Resources|Land Cover|+|Forest (million ha);Land Cover|Forest (million ha);1;NULL;reg+glo
Resources|Land Cover|Forest|Managed Forest|+|NPI/NDC (million ha);Land Cover|Forest|Afforestation and Reforestation (million ha);1;NULL;reg+glo
Resources|Land Cover|Forest|Managed Forest|+|Afforestation (million ha);Land Cover|Forest|Afforestation and Reforestation (million ha);1;NULL;reg+glo
Resources|Land Cover|Forest|Managed Forest|+|Plantations (million ha);Land Cover|Forest|Managed (million ha);1;NULL;reg+glo
Resources|Land Cover|Forest|Natural Forest|+|Primary Forest (million ha);Land Cover|Forest|Natural Forest (million ha);1;NULL;reg+glo
Resources|Land Cover|Forest|Natural Forest|+|Secondary Forest (million ha);Land Cover|Forest|Secondary (million ha);1;NULL;reg+glo
Resources|Land Cover|+|Other Land (million ha);Land Cover|Other Land (million ha);1;NULL;reg+glo
Resources|Land Cover|+|Pastures and Rangelands (million ha);Land Cover|Pasture (million ha);1;NULL;reg+glo
Res|Extraction|Coal (EJ/yr);Resource|Extraction|Coal (EJ/yr);1;NULL;reg+glo
Res|Extraction|Gas (EJ/yr);Resource|Extraction|Gas (EJ/yr);1;NULL;reg+glo
Res|Extraction|Oil (EJ/yr);Resource|Extraction|Oil (EJ/yr);1;NULL;reg+glo
4-DCB-eq (TODO);Ecotoxicity|Freshwater (Mt 1);1;NULL;reg+glo
4-DCB-eq (TODO);Ecotoxicity|Freshwater|Electricity (Mt 1);1;NULL;reg+glo
4-DCB-eq (TODO);Ecotoxicity|Marine (Mt 1);1;NULL;reg+glo
4-DCB-eq (TODO);Ecotoxicity|Marine|Electricity (Mt 1);1;NULL;reg+glo
Nutrition|Calorie Supply (kcal/capita/day);Food Demand (kcal/cap/day);1;NULL;reg+glo
Nutrition|Calorie Supply|+|Crops (kcal/capita/day);Food Demand|Crops (kcal/cap/day);1;NULL;reg+glo
Nutrition|Calorie Supply|+|Livestock products (kcal/capita/day);Food Demand|Livestock (kcal/cap/day);1;NULL;reg+glo
4-DCB-eq (TODO);Human Toxicity (Mt 1);1;NULL;reg+glo
4-DCB-eq (TODO);Human Toxicity|Electricity (Mt 1);1;NULL;reg+glo
Population (million);Population (million);1;NULL;reg+glo
Population|Extreme poverty (million);Population|Extreme poverty (million);1;NULL;reg+glo
SDG|SDG02|Prevalence of underweight (million);Population|Risk of Hunger (million);1;NULL;reg+glo
Population|Urban (million);Population|Urban (million);1;NULL;reg+glo
Premature mortality|PM2_5 (million);Premature Deaths|PM2_5 (million);1;NULL;reg+glo
Subsidies (billion US$2005/yr);Subsidies|Energy (billion US$2010/yr);1;NULL;reg+glo
Subsidies|Fuel Extraction (billion US$2005/yr);Subsidies|Energy|Fossil (billion US$2010/yr);1;NULL;reg+glo
Water Consumption|Electricity w/o Hydro (km3/yr);Water Consumption|Electricity w/o Hydro (km3/yr);1;NULL;reg+glo
Tech|Electricity|Biomass|Gasification Combined Cycle w/ CC|Efficiency (%);Efficiency|Electricity|Biomass|w/ CCS (%);1;NULL;reg+glo
Tech|Electricity|Biomass|Combined Heat and Power w/o CC|Efficiency (%);Efficiency|Electricity|Biomass|w/o CCS (%);1;NULL;reg+glo
Tech|Electricity|Coal|Pulverised Coal w/ CC|Efficiency (%);Efficiency|Electricity|Coal|w/ CCS (%);1;NULL;reg+glo
Tech|Electricity|Coal|Pulverised Coal w/o CC|Efficiency (%);Efficiency|Electricity|Coal|w/o CCS (%);1;NULL;reg+glo
Tech|Electricity|Gas|Combined Cycle w/ CC|Efficiency (%);Efficiency|Electricity|Gas|w/ CCS (%);1;NULL;reg+glo
Tech|Electricity|Gas|Combined Heat and Power w/o CC|Efficiency (%);Efficiency|Electricity|Gas|w/o CCS (%);1;NULL;reg+glo
Tech|Gases|Biomass|w/o CC|Efficiency (%);Efficiency|Gases|Biomass|w/o CCS (%);1;NULL;reg+glo
Tech|Gases|Fossil|Coal|w/o CC|Efficiency (%);Efficiency|Gases|Coal|w/o CCS (%);1;NULL;reg+glo
Tech|Hydrogen|Biomass|w/ CC|Efficiency (%);Efficiency|Hydrogen|Biomass|w/ CCS (%);1;NULL;reg+glo
Tech|Hydrogen|Biomass|w/o CC|Efficiency (%);Efficiency|Hydrogen|Biomass|w/o CCS (%);1;NULL;reg+glo
Tech|Hydrogen|Coal|w/ CC|Efficiency (%);Efficiency|Hydrogen|Coal|w/ CCS (%);1;NULL;reg+glo
Tech|Hydrogen|Coal|w/o CC|Efficiency (%);Efficiency|Hydrogen|Coal|w/o CCS (%);1;NULL;reg+glo
Tech|Hydrogen|Electricity|Efficiency (%);Efficiency|Hydrogen|Electricity (%);1;NULL;reg+glo
Tech|Hydrogen|Gas|w/ CC|Efficiency (%);Efficiency|Hydrogen|Gas|w/ CCS (%);1;NULL;reg+glo
Tech|Hydrogen|Gas|w/o CC|Efficiency (%);Efficiency|Hydrogen|Gas|w/o CCS (%);1;NULL;reg+glo
Tech|Liquids|Biomass|BioFTR|w/ CC|Efficiency (%);Efficiency|Liquids|Biomass|w/ CCS (%);1;NULL;reg+glo
Tech|Liquids|Biomass|BioFTR|w/o CC|Efficiency (%);Efficiency|Liquids|Biomass|w/o CCS (%);1;NULL;reg+glo
Tech|Liquids|Fossil|Coal|w/ CC|Efficiency (%);Efficiency|Liquids|Coal|w/ CCS (%);1;NULL;reg+glo
Tech|Liquids|Fossil|Coal|w/o CC|Efficiency (%);Efficiency|Liquids|Coal|w/o CCS (%);1;NULL;reg+glo
Tech|Liquids|Fossil|Oil|Efficiency (%);Efficiency|Liquids|Oil (%);1;NULL;reg+glo
Tech|Electricity|Biomass|Gasification Combined Cycle w/ CC|Lifetime (years);Lifetime|Electricity|Biomass|w/ CCS (years);1;NULL;reg+glo
Tech|Electricity|Biomass|Combined Heat and Power w/o CC|Lifetime (years);Lifetime|Electricity|Biomass|w/o CCS (years);1;NULL;reg+glo
Tech|Electricity|Coal|Gasification Combined Cycle w/ CC|Lifetime (years);Lifetime|Electricity|Coal|w/ CCS (years);1;NULL;reg+glo
Tech|Electricity|Coal|Pulverised Coal w/o CC|Lifetime (years);Lifetime|Electricity|Coal|w/o CCS (years);1;NULL;reg+glo
Tech|Electricity|Gas|Combined Cycle w/ CC|Lifetime (years);Lifetime|Electricity|Gas|w/ CCS (years);1;NULL;reg+glo
Tech|Electricity|Gas|Combined Heat and Power w/o CC|Lifetime (years);Lifetime|Electricity|Gas|w/o CCS (years);1;NULL;reg+glo
Tech|Electricity|Geothermal|Lifetime (years);Lifetime|Electricity|Geothermal (years);1;NULL;reg+glo
Tech|Electricity|Hydro|Lifetime (years);Lifetime|Electricity|Hydro (years);1;NULL;reg+glo
Tech|Electricity|Nuclear|Lifetime (years);Lifetime|Electricity|Nuclear (years);1;NULL;reg+glo
Tech|Electricity|Solar|CSP|Lifetime (years);Lifetime|Electricity|Solar|CSP (years);1;NULL;reg+glo
Tech|Electricity|Solar|PV|Lifetime (years);Lifetime|Electricity|Solar|PV (years);1;NULL;reg+glo
Tech|Electricity|Wind|Offshore|Lifetime (years);Lifetime|Electricity|Wind|Offshore (years);1;NULL;reg+glo
Tech|Electricity|Wind|Onshore|Lifetime (years);Lifetime|Electricity|Wind|Onshore (years);1;NULL;reg+glo
Tech|Gases|Biomass|w/o CC|Lifetime (years);Lifetime|Gases|Biomass|w/o CCS (years);1;NULL;reg+glo
Tech|Gases|Fossil|Coal|w/o CC|Lifetime (years);Lifetime|Gases|Coal|w/o CCS (years);1;NULL;reg+glo
Tech|Hydrogen|Biomass|w/ CC|Lifetime (years);Lifetime|Hydrogen|Biomass|w/ CCS (years);1;NULL;reg+glo
Tech|Hydrogen|Biomass|w/o CC|Lifetime (years);Lifetime|Hydrogen|Biomass|w/o CCS (years);1;NULL;reg+glo
Tech|Hydrogen|Coal|w/ CC|Lifetime (years);Lifetime|Hydrogen|Coal|w/ CCS (years);1;NULL;reg+glo
Tech|Hydrogen|Coal|w/o CC|Lifetime (years);Lifetime|Hydrogen|Coal|w/o CCS (years);1;NULL;reg+glo
Tech|Hydrogen|Electricity|Lifetime (years);Lifetime|Hydrogen|Electricity (years);1;NULL;reg+glo
Tech|Hydrogen|Gas|w/ CC|Lifetime (years);Lifetime|Hydrogen|Gas|w/ CCS (years);1;NULL;reg+glo
Tech|Hydrogen|Gas|w/o CC|Lifetime (years);Lifetime|Hydrogen|Gas|w/o CCS (years);1;NULL;reg+glo
Tech|Liquids|Biomass|BioFTR|w/ CC|Lifetime (years);Lifetime|Liquids|Biomass|w/ CCS (years);1;NULL;reg+glo
Tech|Liquids|Biomass|BioFTR|w/o CC|Lifetime (years);Lifetime|Liquids|Biomass|w/o CCS (years);1;NULL;reg+glo
Tech|Liquids|Fossil|Coal|w/ CC|Lifetime (years);Lifetime|Liquids|Coal|w/ CCS (years);1;NULL;reg+glo
Tech|Liquids|Fossil|Coal|w/o CC|Lifetime (years);Lifetime|Liquids|Coal|w/o CCS (years);1;NULL;reg+glo
Tech|Liquids|Fossil|Oil|Lifetime (years);Lifetime|Liquids|Oil (years);1;NULL;reg+glo
Tech|Electricity|Biomass|Gasification Combined Cycle w/ CC|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Biomass|w/ CCS (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Electricity|Biomass|Combined Heat and Power w/o CC|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Biomass|w/o CCS (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Electricity|Coal|Gasification Combined Cycle w/ CC|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Coal|w/ CCS (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Electricity|Coal|Pulverised Coal w/o CC|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Coal|w/o CCS (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Electricity|Gas|Combined Cycle w/ CC|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Gas|w/ CCS (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Electricity|Gas|Combined Heat and Power w/o CC|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Gas|w/o CCS (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Electricity|Geothermal|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Geothermal (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Electricity|Hydro|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Hydro (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Electricity|Nuclear|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Nuclear (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Electricity|Solar|PV|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Solar|CSP (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Electricity|Solar|CSP|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Solar|PV (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Electricity|Wind|Offshore|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Wind (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Electricity|Wind|Onshore|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Wind (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Electricity|Wind|Offshore|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Wind|Offshore (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Electricity|Wind|Onshore|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Electricity|Wind|Onshore (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Gases|Biomass|w/o CC|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Gases|Biomass|w/o CCS (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Gases|Fossil|Coal|w/o CC|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Gases|Coal|w/o CCS (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Hydrogen|Biomass|w/ CC|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Hydrogen|Biomass|w/ CCS (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Hydrogen|Biomass|w/o CC|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Hydrogen|Biomass|w/o CCS (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Hydrogen|Coal|w/ CC|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Hydrogen|Coal|w/ CCS (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Hydrogen|Coal|w/o CC|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Hydrogen|Coal|w/o CCS (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Hydrogen|Electricity|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Hydrogen|Electricity (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Hydrogen|Gas|w/ CC|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Hydrogen|Gas|w/ CCS (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Hydrogen|Gas|w/o CC|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Hydrogen|Gas|w/o CCS (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Liquids|Biomass|BioFTR|w/ CC|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Liquids|Biomass|w/ CCS (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Liquids|Biomass|BioFTR|w/o CC|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Liquids|Biomass|w/o CCS (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Liquids|Fossil|Coal|w/ CC|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Liquids|Coal|w/ CCS (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Liquids|Fossil|Coal|w/o CC|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Liquids|Coal|w/o CCS (US$2010/kW/yr);1.10774;NULL;reg+glo
Tech|Liquids|Fossil|Oil|OM Cost|fixed (US$2005/kW/yr);OM Cost|Fixed|Liquids|Oil (US$2010/kW/yr);1.10774;NULL;reg+glo
Trade|Goods (billion US$2005/yr);Trade (billion US$2010/yr);1.10774;NULL;reg+glo
Stock|Transport|Bus (million vehicles);Transport|Stock|Road|Passenger|Bus (million vehicles);1;NULL;reg+glo
Stock|Transport|LDV (million vehicles);Transport|Stock|Road|Passenger|LDV (million vehicles);1;NULL;reg+glo
Water Consumption|Electricity (km3/yr);Water Consumption|Electricity (km3/yr);1;NULL;reg+glo
Water Consumption|Electricity|Biomass (km3/yr);Water Consumption|Electricity|Biomass (km3/yr);1;NULL;reg+glo
Water Consumption|Electricity|Biomass|w/ CCS (km3/yr);Water Consumption|Electricity|Biomass|w/ CCS (km3/yr);1;NULL;reg+glo
Water Consumption|Electricity|Biomass|w/o CCS (km3/yr);Water Consumption|Electricity|Biomass|w/o CCS (km3/yr);1;NULL;reg+glo
Water Consumption|Electricity|Coal (km3/yr);Water Consumption|Electricity|Coal (km3/yr);1;NULL;reg+glo
Water Consumption|Electricity|Coal|w/ CCS (km3/yr);Water Consumption|Electricity|Coal|w/ CCS (km3/yr);1;NULL;reg+glo
Water Consumption|Electricity|Coal|w/o CCS (km3/yr);Water Consumption|Electricity|Coal|w/o CCS (km3/yr);1;NULL;reg+glo
Water Consumption|Electricity|Cooling Pond (km3/yr);Water Consumption|Electricity|Cooling Pond (km3/yr);1;NULL;reg+glo
Water Consumption|Electricity|Dry Cooling (km3/yr);Water Consumption|Electricity|Dry Cooling (km3/yr);1;NULL;reg+glo
Water Consumption|Electricity|Fossil (km3/yr);Water Consumption|Electricity|Fossil (km3/yr);1;NULL;reg+glo
Water Consumption|Electricity|Fossil|w/ CCS (km3/yr);Water Consumption|Electricity|Fossil|w/ CCS (km3/yr);1;NULL;reg+glo
Water Consumption|Electricity|Fossil|w/o CCS (km3/yr);Water Consumption|Electricity|Fossil|w/o CCS (km3/yr);1;NULL;reg+glo
Water Consumption|Electricity|Gas (km3/yr);Water Consumption|Electricity|Gas (km3/yr);1;NULL;reg+glo
Water Consumption|Electricity|Gas|w/ CCS (km3/yr);Water Consumption|Electricity|Gas|w/ CCS (km3/yr);1;NULL;reg+glo
Water Consumption|Electricity|Gas|w/o CCS (km3/yr);Water Consumption|Electricity|Gas|w/o CCS (km3/yr);1;NULL;reg+glo
