r30m44;Variable;factor;weight;spatial
Prices|Index2010|Agriculture|Food products|Plant-based (1);Price|Agriculture|Non-Energy Crops|Index (Index (2010 = 1));1;NULL;reg+glo
Prices|Index2010|Agriculture|Food products|Plant-based|Rice (1);Price|Agriculture|Rice|Index (Index (2010 = 1));1;NULL;reg+glo
Prices|Index2010|Agriculture|Food products|Plant-based|Soybean (1);Price|Agriculture|Soybean|Index (Index (2010 = 1));1;NULL;reg+glo
Prices|Index2010|Agriculture|Food products|Plant-based|Temperate cereals (1);Price|Agriculture|Wheat|Index (Index (2010 = 1));1;NULL;reg+glo
Price|Carbon (US$2005/t CO2);Price|Carbon (US$2010/t CO2);1.10774;NULL;reg+glo
Price|Carbon|Demand|Industry (US$2005/t CO2);Price|Carbon|Demand|Industry (US$2010/t CO2);1.10774;NULL;reg+glo
Price|Carbon|Demand|Buildings (US$2005/t CO2);Price|Carbon|Demand|Residential and Commercial (US$2010/t CO2);1.10774;NULL;reg+glo
Price|Carbon|Demand|Transport (US$2005/t CO2);Price|Carbon|Demand|Transportation (US$2010/t CO2);1.10774;NULL;reg+glo
Price|Carbon|Supply (US$2005/t CO2);Price|Carbon|Supply (US$2010/t CO2);1.10774;NULL;reg+glo
Price|Final Energy|Industry|Gases (US$2005/GJ);Price|Final Energy|Industry|Gases|Bioenergy (US$2010/GJ);1.10774;NULL;reg+glo
Price|Final Energy|Industry|Gases (US$2005/GJ);Price|Final Energy|Industry|Gases|Fossil (US$2010/GJ);1.10774;NULL;reg+glo
Price|Final Energy|Industry|Hydrogen (US$2005/GJ);Price|Final Energy|Industry|Hydrogen (US$2010/GJ);1.10774;NULL;reg+glo
Price|Final Energy|Industry|Liquids (US$2005/GJ);Price|Final Energy|Industry|Liquids (US$2010/GJ);1.10774;NULL;reg+glo
Price|Final Energy|Industry|Liquids (US$2005/GJ);Price|Final Energy|Industry|Liquids|Bioenergy (US$2010/GJ);1.10774;NULL;reg+glo
Price|Final Energy|Industry|Liquids (US$2005/GJ);Price|Final Energy|Industry|Liquids|Fossil synfuel (US$2010/GJ);1.10774;NULL;reg+glo
Price|Final Energy|Industry|Solids (US$2005/GJ);Price|Final Energy|Industry|Solids|Biomass (US$2010/GJ);1.10774;NULL;reg+glo
Price|Final Energy|Industry|Solids (US$2005/GJ);Price|Final Energy|Industry|Solids|Coal (US$2010/GJ);1.10774;NULL;reg+glo
Price|Final Energy|Buildings|Electricity (US$2005/GJ);Price|Final Energy|Residential and Commercial|Residential|Electricity (US$2010/GJ);1.10774;NULL;reg+glo
Price|Final Energy|Buildings|Gases (US$2005/GJ);Price|Final Energy|Residential and Commercial|Residential|Gases|Natural Gas (US$2010/GJ);1.10774;NULL;reg+glo
Price|Final Energy|Buildings|Heat (US$2005/GJ);Price|Final Energy|Residential and Commercial|Residential|Liquids|Oil (US$2010/GJ);1.10774;NULL;reg+glo
Price|Final Energy|Buildings|Solids (US$2005/GJ);Price|Final Energy|Residential and Commercial|Residential|Solids|Biomass (US$2010/GJ);1.10774;NULL;reg+glo
Price|Final Energy|Buildings|Solids (US$2005/GJ);Price|Final Energy|Residential and Commercial|Residential|Solids|Coal (US$2010/GJ);1.10774;NULL;reg+glo
Price|Biomass|World Market (US$2005/GJ);Price|Primary Energy|Biomass (US$2010/GJ);1.10774;NULL;reg+glo
Price|Coal|World Market (US$2005/GJ);Price|Primary Energy|Coal (US$2010/GJ);1.10774;NULL;reg+glo
